Product,Price,Description,Category,Tags,Stock Status,Related Products
Pidgeot,£185.00,"This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.","Categories: Bird, Pokemon","Tags: Bird, Keen Eye, pidgeot",90 in stock,"Beedrill, Blastoise, Metapod"
Rattata,£128.00,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.","Categories: Mouse, Pokemon","Tags: Mouse, rattata, Run Away",16 in stock,"Spearow, Weedle, Ivysaur"
Raticate,£60.00,"Raticate’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.","Categories: Mouse, Pokemon","Tags: Mouse, raticate, Run Away",204 in stock,"Pidgeotto, Arbok, Charizard"
Spearow,£133.00,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.","Categories: Pokemon, Tiny Bird","Tags: Keen Eye, spearow, Tiny Bird",46 in stock,"Pikachu, Charmander, Squirtle"
Fearow,£95.00,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,"Categories: Beak, Pokemon","Tags: Beak, fearow, Keen Eye",276 in stock,"Ekans, Caterpie, Pidgeotto"
Ekans,£55.00,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,"Categories: Pokemon, Snake","Tags: ekans, Shed Skin, Snake",120 in stock,"Squirtle, Weedle, Fearow"
Arbok,£182.00,"This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.","Categories: Cobra, Pokemon","Tags: arbok, Cobra, Shed Skin",248 in stock,"Charmeleon, Squirtle, Metapod"
Pikachu,£37.00,This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.,"Categories: Mouse, Pokemon","Tags: Mouse, pikachu, Static",254 in stock,"Pidgeotto, Beedrill, Butterfree"
Raichu,£140.00,This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.,"Categories: Mouse, Pokemon","Tags: Mouse, raichu, Static",215 in stock,"Rattata, Arbok, Squirtle"
Sandshrew,£82.00,"Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep.","Categories: Mouse, Pokemon","Tags: Mouse, Sand Veil, sandshrew",100 in stock,"Weedle, Wartortle, Raticate"
Sandslash,£155.00,"Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws.","Categories: Mouse, Pokemon","Tags: Mouse, Sand Veil, sandslash",236 in stock,"Weedle, Rattata, Blastoise"
Nidorina,£28.00,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.","Categories: Poison Pin, Pokemon","Tags: nidorina, Poison Pin, Poison Point",58 in stock,"Weedle, Pidgey, Raticate"
Nidoqueen,£106.00,Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,"Categories: Drill, Pokemon","Tags: Drill, nidoqueen, Poison Point",153 in stock,"Pidgeotto, Metapod, Blastoise"
Nidorino,£179.00,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.","Categories: Poison Pin, Pokemon","Tags: nidorino, Poison Pin, Poison Point",279 in stock,"Ekans, Charizard, Charmander"
Nidoking,£31.00,"Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.","Categories: Drill, Pokemon","Tags: Drill, nidoking, Poison Point",178 in stock,"Blastoise, Butterfree, Arbok"
Clefairy,£160.00,"On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.","Categories: Fairy, Pokemon","Tags: clefairy, Cute Charm, Fairy",86 in stock,"Charmeleon, Squirtle, Arbok"
Clefable,£188.00,"Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.","Categories: Fairy, Pokemon","Tags: clefable, Cute Charm, Fairy",23 in stock,"Charmander, Beedrill, Blastoise"
Vulpix,£85.00,"Inside Vulpix’s body burns a flame that never goes out. During the daytime, when the temperatures rise, this Pokémon releases flames from its mouth to prevent its body from growing too hot.","Categories: Fox, Pokemon","Tags: Flash Fire, Fox, vulpix",268 in stock,"Raticate, Weedle, Metapod"
Ninetales,£52.00,Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent—it can understand human speech.,"Categories: Fox, Pokemon","Tags: Flash Fire, Fox, ninetales",215 in stock,"Weedle, Butterfree, Rattata"
Jigglypuff,£61.00,"When this Pokémon sings, it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep, Jigglypuff cannot breathe, endangering its life.","Categories: Balloon, Pokemon","Tags: Balloon, Cute Charm, jigglypuff",136 in stock,"Arbok, Beedrill, Butterfree"
Wigglytuff,£130.00,"Wigglytuff’s body is very flexible. By inhaling deeply, this Pokémon can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly like a balloon.","Categories: Balloon, Pokemon","Tags: Balloon, Cute Charm, wigglytuff",260 in stock,"Butterfree, Ekans, Fearow"
Zubat,£125.00,"Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down.","Categories: Bat, Pokemon","Tags: Bat, Inner Focus, zubat",154 in stock,"Caterpie, Venusaur, Arbok"
Golbat,£136.00,"Golbat bites down on prey with its four fangs and drinks the victim’s blood. It becomes active on inky dark moonless nights, flying around to attack people and Pokémon.","Categories: Bat, Pokemon","Tags: Bat, golbat, Inner Focus",52 in stock,"Rattata, Charmeleon, Kakuna"
Oddish,£45.00,"Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon’s feet are thought to change shape and become similar to the roots of trees.","Categories: Pokemon, Weed","Tags: Chlorophyll, oddish, Weed",296 in stock,"Beedrill, Raticate, Ivysaur"
Gloom,£178.00,"From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.","Categories: Pokemon, Weed","Tags: Chlorophyll, gloom, Weed",74 in stock,"Venusaur, Squirtle, Pidgey"
Vileplume,£170.00,"Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them.","Categories: Flower, Pokemon","Tags: Chlorophyll, Flower, vileplume",283 in stock,"Ekans, Blastoise, Fearow"
Paras,£168.00,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.,"Categories: Mushroom, Pokemon","Tags: Effect Spore, Mushroom, paras",192 in stock,"Caterpie, Weedle, Wartortle"
Parasect,£27.00,"Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.","Categories: Mushroom, Pokemon","Tags: Effect Spore, Mushroom, parasect",17 in stock,"Wartortle, Ekans, Caterpie"
Venonat,£158.00,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.","Categories: Insect, Pokemon","Tags: Compound Eyes, Insect, venonat",177 in stock,"Venusaur, Rattata, Beedrill"
Venomoth,£53.00,"Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.","Categories: Poison Moth, Pokemon","Tags: Poison Moth, Shield Dust, venomoth",22 in stock,"Pidgeotto, Metapod, Ivysaur"
Diglett,£122.00,"Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.","Categories: Mole, Pokemon","Tags: diglett, Mole, Sand Veil",227 in stock,"Ekans, Charmeleon, Kakuna"
Dugtrio,£111.00,"Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.","Categories: Mole, Pokemon","Tags: dugtrio, Mole, Sand Veil",290 in stock,"Butterfree, Rattata, Pidgeot"
Meowth,£131.00,"Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light.","Categories: Pokemon, Scratch Cat","Tags: meowth, Pickup, Scratch Cat",203 in stock,"Charmeleon, Wartortle, Butterfree"
Persian,£200.00,Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon’s surrounding vicinity. It becomes docile if grabbed by the whiskers.,"Categories: Classy Cat, Pokemon","Tags: Classy Cat, persian, Technician",108 in stock,"Arbok, Pidgeotto, Metapod"
Psyduck,£182.00,"If it uses its mysterious power, Psyduck can’t remember having done so. It apparently can’t form a memory of such an event because it goes into an altered state that is much like deep sleep.","Categories: Duck, Pokemon","Tags: Damp, Duck, psyduck",214 in stock,"Rattata, Caterpie, Spearow"
Golduck,£31.00,"Golduck is the fastest swimmer among all Pokémon. It swims effortlessly, even in a rough, stormy sea. It sometimes rescues people from wrecked ships floundering in high seas.","Categories: Duck, Pokemon","Tags: Damp, Duck, golduck",278 in stock,"Pidgeot, Spearow, Ekans"
Mankey,£125.00,"When Mankey starts shaking and its nasal breathing turns rough, it’s a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath.","Categories: Pig Monkey, Pokemon","Tags: mankey, Pig Monkey, Vital Spirit",209 in stock,"Kakuna, Fearow, Weedle"
Primeape,£86.00,"When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time.","Categories: Pig Monkey, Pokemon","Tags: Pig Monkey, primeape, Vital Spirit",68 in stock,"Wartortle, Ekans, Weedle"
Growlithe,£30.00,"Growlithe has a superb sense of smell. Once it smells anything, this Pokémon won’t forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things.","Categories: Pokemon, Puppy","Tags: growlithe, Intimidate, Puppy",243 in stock,"Kakuna, Charmander, Pidgeot"
Arcanine,£69.00,"Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon’s body is its source of power.","Categories: Legendary, Pokemon","Tags: arcanine, Intimidate, Legendary",14 in stock,"Charmander, Ivysaur, Ekans"
Poliwag,£174.00,"Poliwag has a very thin skin. It is possible to see the Pokémon’s spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it.","Categories: Pokemon, Tadpole","Tags: Damp, poliwag, Tadpole",217 in stock,"Caterpie, Charizard, Kakuna"
Poliwhirl,£121.00,"The surface of Poliwhirl’s body is always wet and slick with a slimy fluid. Because of this slippery covering, it can easily slip and slide out of the clutches of any enemy in battle.","Categories: Pokemon, Tadpole","Tags: Damp, poliwhirl, Tadpole",139 in stock,"Raticate, Weedle, Pidgey"
Poliwrath,£152.00,"Poliwrath’s highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokémon can swim back and forth across the ocean without effort.","Categories: Pokemon, Tadpole","Tags: Damp, poliwrath, Tadpole",216 in stock,"Pidgey, Squirtle, Fearow"
Abra,£141.00,"Abra needs to sleep for eighteen hours a day. If it doesn’t, this Pokémon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping.","Categories: Pokemon, Psi","Tags: abra, Inner Focus, Psi",116 in stock,"Pidgeot, Charmeleon, Wartortle"
Kadabra,£129.00,"Kadabra holds a silver spoon in its hand. The spoon is used to amplify the alpha waves in its brain. Without the spoon, the Pokémon is said to be limited to half the usual amount of its telekinetic powers.","Categories: Pokemon, Psi","Tags: Inner Focus, kadabra, Psi",195 in stock,"Rattata, Charmander, Charmeleon"
Alakazam,£40.00,"Alakazam’s brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pokémon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world.","Categories: Pokemon, Psi","Tags: alakazam, Inner Focus, Psi",142 in stock,"Charizard, Wartortle, Squirtle"
Machop,£166.00,Machop exercises by hefting around a Graveler as if it were a barbell. There are some Machop that travel the world in a quest to master all kinds of martial arts.,"Categories: Pokemon, Superpower","Tags: Guts, machop, Superpower",173 in stock,"Butterfree, Blastoise, Beedrill"
Machoke,£27.00,"Machoke undertakes bodybuilding every day even as it helps people with tough, physically demanding labor. On its days off, this Pokémon heads to the fields and mountains to exercise and train.","Categories: Pokemon, Superpower","Tags: Guts, machoke, Superpower",10 in stock,"Butterfree, Fearow, Pidgey"
Machamp,£121.00,"Machamp is known as the Pokémon that has mastered every kind of martial arts. If it grabs hold of the foe with its four arms, the battle is all but over. The hapless foe is thrown far over the horizon.","Categories: Pokemon, Superpower","Tags: Guts, machamp, Superpower",242 in stock,"Spearow, Raticate, Beedrill"
Bellsprout,£74.00,"Bellsprout’s thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.","Categories: Flower, Pokemon","Tags: bellsprout, Chlorophyll, Flower",257 in stock,"Venusaur, Ivysaur, Wartortle"
Weepinbell,£26.00,"Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground.","Categories: Flycatcher, Pokemon","Tags: Chlorophyll, Flycatcher, weepinbell",46 in stock,"Caterpie, Blastoise, Squirtle"
Victreebel,£68.00,"Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole.","Categories: Flycatcher, Pokemon","Tags: Chlorophyll, Flycatcher, victreebel",119 in stock,"Butterfree, Kakuna, Charizard"
Tentacool,£186.00,Tentacool absorbs sunlight and refracts it using water inside its body to convert it into beam energy. This Pokémon shoots beams from the small round organ above its eyes.,"Categories: Jellyfish, Pokemon","Tags: Clear Body, Jellyfish, tentacool",66 in stock,"Pidgeotto, Blastoise, Fearow"
Tentacruel,£65.00,Tentacruel has tentacles that can be freely elongated and shortened at will. It ensnares prey with its tentacles and weakens the prey by dosing it with a harsh toxin. It can catch up to 80 prey at the same time.,"Categories: Jellyfish, Pokemon","Tags: Clear Body, Jellyfish, tentacruel",175 in stock,"Rattata, Spearow, Charmander"
Geodude,£32.00,"When Geodude sleeps deeply, it buries itself halfway into the ground. It will not awaken even if hikers step on it unwittingly. In the morning, this Pokémon rolls downhill in search of food.","Categories: Pokemon, Rock","Tags: geodude, Rock, Rock Head",77 in stock,"Beedrill, Ekans, Butterfree"
Graveler,£182.00,"Rocks are Graveler’s favorite food. This Pokémon will climb a mountain from the base to the summit, crunchingly feasting on rocks all the while. Upon reaching the peak, it rolls back down to the bottom.","Categories: Pokemon, Rock","Tags: graveler, Rock, Rock Head",86 in stock,"Ivysaur, Butterfree, Arbok"
Golem,£103.00,"Golem is known for rolling down from mountains. To prevent them from rolling into the homes of people downhill, grooves have been dug into the sides of mountains to serve as guideways for diverting this Pokémon’s course.","Categories: Megaton, Pokemon","Tags: golem, Megaton, Rock Head",151 in stock,"Pidgey, Beedrill, Charmeleon"
Ponyta,£53.00,Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.,"Categories: Fire Horse, Pokemon","Tags: Fire Horse, ponyta, Run Away",41 in stock,"Rattata, Charizard, Weedle"
Rapidash,£98.00,"Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.","Categories: Fire Horse, Pokemon","Tags: Fire Horse, rapidash, Run Away",194 in stock,"Kakuna, Spearow, Squirtle"
Slowpoke,£109.00,"Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it’s doing and often spends entire days just loafing at water’s edge.","Categories: Dopey, Pokemon","Tags: Dopey, Oblivious, slowpoke",57 in stock,"Caterpie, Beedrill, Charmeleon"
Slowbro,£179.00,"Slowbro’s tail has a Shellder firmly attached with a bite. As a result, the tail can’t be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead.","Categories: Hermit Crab, Pokemon","Tags: Hermit Crab, Oblivious, slowbro",289 in stock,"Pidgey, Caterpie, Butterfree"
Magnemite,£100.00,Magnemite floats in the air by emitting electromagnetic waves from the units at its sides. These waves block gravity. This Pokémon becomes incapable of flight if its internal electrical supply is depleted.,"Categories: Magnet, Pokemon","Tags: magnemite, Magnet, Sturdy",16 in stock,"Caterpie, Charmeleon, Pidgeotto"
Magneton,£191.00,"Magneton emits a powerful magnetic force that is fatal to electronics and precision instruments. Because of this, it is said that some towns warn people to keep this Pokémon inside a Poké Ball.","Categories: Magnet, Pokemon","Tags: Magnet, magneton, Sturdy",152 in stock,"Kakuna, Charizard, Spearow"
Farfetchd,£185.00,"Farfetch’d is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks.","Categories: Pokemon, Wild Duck","Tags: farfetchd, Keen Eye, Wild Duck",158 in stock,"Pidgeotto, Venusaur, Ekans"
Doduo,£73.00,"Doduo’s two heads contain completely identical brains. A scientific study reported that on rare occasions, there will be examples of this Pokémon possessing different sets of brains.","Categories: Pokemon, Twin Bird","Tags: doduo, Run Away, Twin Bird",227 in stock,"Kakuna, Venusaur, Ivysaur"
Dodrio,£138.00,"Apparently, the heads aren’t the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well, so it is capable of running long distances without rest.","Categories: Pokemon, Triple Bird","Tags: dodrio, Run Away, Triple Bird",118 in stock,"Charizard, Pidgeot, Caterpie"
Seel,£164.00,"Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head.","Categories: Pokemon, Sea Lion","Tags: Sea Lion, seel, Thick Fat",250 in stock,"Pidgey, Charmander, Wartortle"
Dewgong,£70.00,Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.,"Categories: Pokemon, Sea Lion","Tags: dewgong, Sea Lion, Thick Fat",62 in stock,"Squirtle, Beedrill, Fearow"
Grimer,£147.00,Grimer emerged from the sludge that settled on a polluted seabed. This Pokémon loves anything filthy. It constantly leaks a horribly germ-infested fluid from all over its body.,"Categories: Pokemon, Sludge","Tags: grimer, Sludge, Stench",201 in stock,"Venusaur, Butterfree, Charmander"
Muk,£187.00,"This Pokémon’s favorite food is anything that is repugnantly filthy. In dirty towns where people think nothing of throwing away litter on the streets, Muk are certain to gather.","Categories: Pokemon, Sludge","Tags: muk, Sludge, Stench",220 in stock,"Spearow, Raticate, Charmander"
Shellder,£138.00,"At night, this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out.","Categories: Bivalve, Pokemon","Tags: Bivalve, Shell Armor, shellder",23 in stock,"Spearow, Pidgeot, Pidgey"
Cloyster,£199.00,"Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system.","Categories: Bivalve, Pokemon","Tags: Bivalve, cloyster, Shell Armor",39 in stock,"Venusaur, Blastoise, Rattata"
Gastly,£179.00,"Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away. Groups of this Pokémon cluster under the eaves of houses to escape the ravages of wind.","Categories: Gas, Pokemon","Tags: Gas, gastly, Levitate",151 in stock,"Raticate, Beedrill, Kakuna"
Haunter,£42.00,"Haunter is a dangerous Pokémon. If one beckons you while floating in darkness, you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away.","Categories: Gas, Pokemon","Tags: Gas, haunter, Levitate",181 in stock,"Arbok, Charizard, Raticate"
Gengar,£149.00,"Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow.","Categories: Pokemon, Shadow","Tags: gengar, Levitate, Shadow",159 in stock,"Weedle, Pidgeotto, Butterfree"
Onix,£37.00,"Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother.","Categories: Pokemon, Rock Snake","Tags: onix, Rock Head, Rock Snake",286 in stock,"Charizard, Pidgeot, Charmeleon"
Drowzee,£40.00,"If your nose becomes itchy while you are sleeping, it’s a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils.","Categories: Hypnosis, Pokemon","Tags: drowzee, Hypnosis, Insomnia",253 in stock,"Beedrill, Ivysaur, Fearow"
Hypno,£198.00,"Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokémon searches for prey, it polishes the pendulum.","Categories: Hypnosis, Pokemon","Tags: hypno, Hypnosis, Insomnia",222 in stock,"Charmander, Charmeleon, Weedle"
Krabby,£64.00,"Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory.","Categories: Pokemon, River Crab","Tags: krabby, River Crab, Shell Armor",147 in stock,"Arbok, Charmander, Caterpie"
Kingler,£72.00,"Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires.","Categories: Pincer, Pokemon","Tags: kingler, Pincer, Shell Armor",271 in stock,"Spearow, Ekans, Wartortle"
Voltorb,£189.00,Voltorb is extremely sensitive—it explodes at the slightest of shocks. It is rumored that it was first created when a Poké Ball was exposed to a powerful pulse of energy.,"Categories: Ball, Pokemon","Tags: Ball, Static, voltorb",245 in stock,"Raticate, Charmander, Metapod"
Electrode,£100.00,One of Electrode’s characteristics is its attraction to electricity. It is a problematical Pokémon that congregates mostly at electrical power plants to feed on electricity that has just been generated.,"Categories: Ball, Pokemon","Tags: Ball, electrode, Static",230 in stock,"Venusaur, Pidgey, Ivysaur"
Exeggcute,£126.00,"This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution.","Categories: Egg, Pokemon","Tags: Chlorophyll, Egg, exeggcute",144 in stock,"Spearow, Metapod, Squirtle"
Exeggutor,£68.00,"Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute.","Categories: Coconut, Pokemon","Tags: Chlorophyll, Coconut, exeggutor",292 in stock,"Ekans, Wartortle, Charmeleon"
